"Fecha","IPC.Transporte","IPC_suavizado"
2001-02-01,-0.236023702782992,NA
2001-03-01,-0.0322725912840789,NA
2001-04-01,0.944528849446684,-0.0147348421121561
2001-05-01,-0.681431851668074,0.0953767691888725
2001-06-01,-0.0684749142723196,0.0300342640776829
2001-07-01,0.314534353722151,-0.177770116126928
2001-08-01,-0.358985116840027,-0.0512234793831781
2001-09-01,-0.0944930515763687,-0.0851989064019984
2001-10-01,-0.0486986679493262,0.103131400108651
2001-11-01,-0.238352049366421,0.0656922092969556
2001-12-01,1.2561858862754,0.0788946781109626
2002-01-01,-0.546181070898506,0.111186626566031
2002-02-01,-0.0284807075063337,0.109419627545889
2002-03-01,0.112761074326018,-0.143353720788967
2002-04-01,-0.247187044467131,-0.0173977137783303
2002-05-01,-0.00768085539888279,0.10211405467977
2002-06-01,0.0835989641546779,0.0591301746178642
2002-07-01,0.569078134784167,0.041368278102327
2002-08-01,-0.10215832598351,0.066838561867753
2002-09-01,-0.335996527044817,0.0435939805136345
2002-10-01,0.119670563428247,0.0523498124444653
2002-11-01,-0.0326239426159146,-0.0209763991371899
2002-12-01,0.612857294438321,0.18431191630264
2003-01-01,1.94363240249878,1.94363240249878
2003-02-01,2.0916541322423,2.0916541322423
2003-03-01,1.92045989040988,1.92045989040988
2003-04-01,2.03903003595005,2.03903003595005
2003-05-01,2.04356711611738,2.04356711611738
2003-06-01,0.124061343809053,0.185651422362141
2003-07-01,0.713130450990996,0.023620530148772
2003-08-01,-0.373305474367258,0.0314189779463104
2003-09-01,-0.102669754965166,0.00873987629128346
2003-10-01,-0.204121675736072,0.0271465770310807
2003-11-01,0.0106658355339182,-0.0129821307185486
2003-12-01,0.805163954689982,0.00486476149528569
2004-01-01,-0.573949013115404,0.0698593117696179
2004-02-01,-0.0134352938959948,0.0517720477944861
2004-03-01,0.120851075635589,-0.152817189263661
2004-04-01,-0.0797704843417406,-0.0337277770692056
2004-05-01,-0.217782230600756,0.124769521187017
2004-06-01,0.0214980478568754,0.045859707171133
2004-07-01,0.779051197385119,0.107753163437222
2004-08-01,-0.273697994443832,0.283820088313756
2004-09-01,0.229696796988704,0.572257273705155
2004-10-01,0.662552393781917,0.640890375077922
2004-11-01,1.46368397481387,0.646260235384118
2004-12-01,1.12221670424895,0.549847920557171
2005-01-01,-0.246848692912848,0.514794929720017
2005-02-01,-0.252364777146034,0.177587373002347
2005-03-01,0.487287439596148,-0.020432505187132
2005-04-01,-0.22235380877448,0.0397073570962351
2005-05-01,0.132117313301555,0.236294386474249
