"Model","MAE","RMSE","MAPE","AIC","BIC"
"SARIMA(0,1,1)(0,1,1)12",0.116485601232426,0.150367719069052,12.6719551958322,-127.252571797317,-116.593693042552
"SARIMA(1,0,1)(1,0,1)12",0.116656047929091,0.14099597364244,12.6378756031534,-152.346590301298,-130.73387737602
"SARIMA(2,0,0)(0,1,1)12",0.119980609155686,0.147057648096967,13.0386089251624,-152.642824116457,-138.415511869659
"SARIMA(1,0,1)(0,1,1)12",0.120461763855477,0.147743870877633,13.0932550899637,-152.819626218371,-138.592313971573
"SARIMA(0,0,1)(1,1,1)12",0.143993804129787,0.168671890753333,15.5921484510241,-143.751729316997,-129.524417070199
