"Statistic","Value"
"n",283
"Mean",0.253093379530958
"SD",0.871424043214825
"Min",-1.41412372235956
"Q1",-0.184532575444518
"Median",0.0586137263516258
"Q3",0.469104771882371
"Max",8.91627299440895
